code_stop,line_salida,trayect_salida,time_salida,time
41,14,5,6:00,6:22
111,24,4,6:00,6:22
156,7,3,5:35,6:22
294,8,1,6:15,6:22
348,5,2,6:20,6:22
349,5,2,6:20,6:22
369,15,2,6:20,6:22
610,9,1,6:00,6:22
627,9,4,5:55,6:22
696,12,1,6:15,6:22
829,14,2,6:10,6:22
830,14,2,6:10,6:22
1027,24,3,6:00,6:22
23,24,5,6:00,6:23
39,14,5,6:00,6:23
112,24,4,6:00,6:23
113,24,4,6:00,6:23
157,7,3,5:35,6:23
158,7,3,5:35,6:23
165,8,1,6:15,6:23
166,8,1,6:15,6:23
219,14,5,6:00,6:23
350,5,2,6:20,6:23
697,12,1,6:15,6:23
876,55,2,6:20,6:23
877,15,2,6:20,6:23
21,24,3,6:00,6:24
114,24,4,6:00,6:24
139,7,3,6:30,6:24
160,7,3,5:35,6:24
168,8,1,6:15,6:24
353,5,2,6:20,6:24
366,55,2,6:20,6:24
535,12,1,6:15,6:24
559,8,1,6:15,6:24
611,9,1,6:00,6:24
629,9,4,5:55,6:24
879,55,2,6:20,6:24
879,15,2,6:20,6:24
23,24,3,6:00,6:25
24,24,5,6:00,6:25
115,24,4,6:00,6:25
147,14,5,6:00,6:25
149,14,5,6:00,6:25
295,8,1,6:15,6:25
351,5,2,6:20,6:25
355,5,2,6:20,6:25
612,9,1,6:00,6:25
630,9,4,5:55,6:25
833,14,2,6:10,6:25
880,55,2,6:20,6:25
881,15,2,6:20,6:25
25,24,5,6:00,6:26
77,7,4,6:30,6:26
200,15,2,6:20,6:26
217,9,4,5:55,6:26
354,5,2,6:20,6:26
631,9,4,5:55,6:26
633,24,5,6:00,6:26
699,12,1,6:15,6:26
700,12,1,6:15,6:26
835,14,2,6:10,6:26
881,55,2,6:20,6:26
1081,15,2,6:20,6:26
24,24,3,6:00,6:27
51,15,2,6:20,6:27
76,7,3,5:35,6:27
108,9,1,6:00,6:27
218,9,4,5:55,6:27
220,14,5,6:00,6:27
359,5,2,6:20,6:27
633,24,3,6:00,6:27
667,24,5,6:00,6:27
701,12,1,6:15,6:27
702,12,1,6:15,6:27
836,14,2,6:10,6:27
1079,5,2,6:20,6:27
1081,55,2,6:20,6:27
2300,5,2,6:20,6:27
26,24,5,6:00,6:28
40,9,1,6:00,6:28
116,24,4,6:00,6:28
360,5,2,6:20,6:28
635,9,4,5:55,6:28
665,15,2,6:20,6:28
882,55,2,6:20,6:28
1083,14,2,6:10,6:28
25,24,3,6:00,6:29
28,24,5,6:00,6:29
41,9,1,6:00,6:29
