rowid,line,trayect,time,mod
1088,12,1,12:45,
1089,15,1,12:45,
1090,14,1,12:45,
1091,48,1,12:40,
1092,50,3,12:57,
1093,55,1,12:55,
1094,6,1,12:40,
1095,24,5,12:30,
1096,50,1,13:00,
1097,9,1,13:00,
1098,12,1,13:15,
1099,1,3,12:38,
1100,24,3,13:00,
1101,24,1,13:05,
1102,9,1,13:30,
1103,49,1,13:30,
1104,7,1,13:15,
1105,12,1,13:45,
1106,15,1,13:45,
1107,9,1,14:00,
1108,50,1,14:00,
1109,1,3,13:38,
1110,12,1,14:15,
1111,24,1,14:05,
1112,24,3,14:00,
1113,9,1,14:30,
1114,7,1,14:15,
1115,15,1,14:45,
1116,12,1,14:45,
1117,55,1,14:55,
1118,9,1,15:00,
1119,50,1,15:00,
1120,24,5,14:30,
1121,12,1,15:15,
1122,1,3,14:38,
1123,9,1,17:30,
1124,50,1,18:00,
1125,1,3,17:38,
1126,24,1,17:35,
1127,9,1,18:30,
1128,24,3,18:00,
1129,7,1,18:15,
1130,12,1,18:45,
1131,14,1,18:45,
1132,55,1,18:55,
1133,24,5,18:30,
1134,50,1,19:00,
1135,12,1,19:15,
1136,24,1,19:05,
1137,9,1,19:30,
1138,7,1,19:15,
1139,15,1,19:45,
1140,12,1,19:45,
1141,24,1,19:35,
1142,50,1,20:00,
1143,9,1,20:30,
1144,12,1,20:15,
1145,24,3,20:00,
1146,7,1,20:15,
1147,12,1,20:45,
1148,15,1,20:45,
1149,24,1,20:35,
1150,50,1,21:00,
1151,14,1,21:00,
1152,12,1,21:15,
1153,24,1,21:05,
1154,9,1,21:30,
1155,15,1,21:45,
1156,7,3,21:30,
1157,24,1,22:05,
1158,9,3,22:30,
1159,14,1,23:00,
1160,7,3,23:05,
1161,9,3,23:30,
1162,55,1,6:55,
1163,1,3,6:38,
1164,14,1,7:45,
1165,6,1,9:30,
1166,12,5,12:42,
1167,7,3,4:05,
1168,24,3,5:00,
1169,7,3,5:35,
1170,24,5,6:00,
1171,24,3,6:00,
1172,55,1,6:55,
1173,7,3,6:30,
1174,6,1,6:30,
1175,48,1,7:00,
1176,1,1,6:45,
1177,24,5,7:00,
1178,48,1,7:15,
1179,7,1,7:15,
1180,1,1,7:50,
1181,24,5,7:45,
1182,1,5,8:00,
1183,24,3,8:00,
1184,7,1,8:15,
1185,55,1,8:55,
1186,24,5,8:30,
1187,1,3,8:38,
1188,24,3,9:00,
1189,24,5,9:00,
1190,6,1,9:30,
1191,7,1,9:15,
1192,55,1,9:55,
1193,24,1,9:35,
1194,24,1,10:05,
1195,24,3,10:00,
1196,24,5,10:30,
1197,55,1,10:55,
1198,1,3,10:38,
1199,24,3,11:00,
1200,24,1,11:35,
1201,1,3,11:38,
1202,55,1,11:55,
1203,6,1,12:05,
1204,24,3,12:00,
1205,7,1,12:15,
1206,48,1,12:40,
1207,55,1,12:55,
1208,24,5,12:30,
1209,1,3,12:38,
1210,24,3,13:00,
1211,24,1,13:05,
1212,7,1,13:15,
1213,1,3,13:38,
1214,24,3,14:00,
1215,24,1,14:05,
1216,7,1,14:15,
1217,55,1,14:55,
1218,24,5,14:30,
1219,1,3,14:38,
1220,1,3,17:38,
1221,24,1,17:35,
1222,24,3,18:00,
1223,7,1,18:15,
1224,55,1,18:55,
1225,24,5,18:30,
1226,24,1,19:05,
1227,24,1,19:35,
1228,24,3,20:00,
1229,7,1,20:15,
1230,24,1,20:35,
1231,7,3,21:30,
1232,24,1,22:05,
1233,7,3,23:05,
1234,7,3,1:05,
1235,24,3,7:00,
1236,55,1,7:55,
1237,24,1,7:35,
1238,1,3,7:38,
1239,1,3,9:38,
1240,7,1,10:15,
1241,7,3,1:05,
1242,24,3,5:00,
1243,7,3,6:30,
